Model Name,Symbolic Capacity,System Awareness,Meta-Cognition,Paradigm Flexibility,Cognitive Containment,Epistemic Clarity,Temporal Projection,Narrative Coherence,Shadow Awareness,Alignment Receptivity
Second-Order Thinking,4,5,4,4,6,9,4,6,3,4
First Principles Thinking,9,8,7,6,8,6,7,9,5,7
Falsifiability Filter,10,8,4,3,10,4,4,6,7,5
Path Dependence,8,4,6,8,7,5,10,7,3,7
Reductio ad Absurdum,4,5,7,4,4,5,7,7,6,8
Zero-Sum Fallacy,6,7,10,7,3,4,9,7,3,3
Tradeoff Triangle,8,5,7,5,10,9,3,4,4,5
Strategic Ignorance,3,8,5,9,5,3,7,8,3,8
Mirror Logic,6,6,4,8,9,5,6,5,5,9
Temporal Discounting,3,5,8,9,6,7,5,4,9,3
Abstraction Ladder,10,6,6,10,8,7,6,6,3,6
Sunk Cost Symbolism,9,8,7,4,7,8,9,8,3,4
Emergence Awareness,7,5,7,3,4,9,8,8,9,4
Model Stacking,9,6,7,3,9,3,6,8,9,4
Simulation Literacy,8,8,4,7,7,9,8,9,7,5
Symbolic Compression,6,9,9,5,7,9,3,7,7,6
Cooperative Defection,9,8,10,10,10,6,10,5,4,7
Paradox Tolerance,8,4,6,7,6,6,5,3,3,6
Ambiguity Tolerance,10,4,10,9,6,9,10,9,6,5
Cognitive Load Balance,3,4,9,6,5,10,3,6,4,10
Metaphor Collapse,5,10,8,10,9,10,5,10,10,7
Temporal Reframing,6,7,10,6,7,10,4,7,6,7
Iterative Uncertainty,8,8,4,5,5,6,9,5,6,4
Contextual Relevance,9,9,8,10,9,3,6,9,9,3
Polarity Mapping,9,10,3,8,7,9,9,6,10,6
Narrative Forking,7,9,10,3,9,8,9,5,10,5
Model Inversion,3,9,3,4,9,5,10,5,3,7
Causal Decomposition,9,8,6,10,8,8,9,7,9,7
Symbolic Alignment,4,10,3,3,8,6,4,3,3,6
Mythic Convergence,6,3,5,6,5,10,4,6,10,7
