Model Name,Symbolic Capacity,System Awareness,Meta-Cognition,Paradigm Flexibility,Cognitive Containment,Epistemic Clarity,Temporal Projection,Narrative Coherence,Shadow Awareness,Alignment Receptivity,Symbolic Class
Anchoring Loop,0.753,0.78,1.151,0.846,0.843,0.988,0.912,0.838,0.861,0.6,Other
First Principles Thinking,1.106,0.812,1.038,0.848,0.663,1.041,0.929,1.197,1.371,0.987,Other
Interpretive Synthesizer,0.98125,0.9552499999999999,1.0002499999999999,1.1475,0.9145000000000001,0.89,0.82475,0.87075,1.0162499999999999,0.6845,Interpretive
Narrative Anchor,0.8266666666666667,0.8296666666666667,1.037,0.766,1.0166666666666666,0.7869999999999999,0.859,1.1173333333333333,1.0373333333333334,0.7876666666666666,Identity
Paradox Tolerance,0.8385,1.044,0.918,1.0915,1.193,1.1059999999999999,0.9945,0.9345000000000001,0.771,0.752,Other
Path Dependence,1.146,0.771,1.061,1.049,1.023,0.6,0.862,0.813,0.897,0.89,Other
Pattern Reliability Bias,0.69,0.965,1.252,0.91,0.903,0.933,1.048,0.977,0.664,1.019,Other
Recursive Architect,0.9198000000000001,0.9792,1.0134,1.1306,0.899,0.9144,0.9057999999999999,0.9474,0.9134,0.8390000000000001,Meta-Model
Reductio ad Absurdum,1.117,0.657,1.136,1.005,0.6,0.917,0.82,1.218,0.89,1.311,Other
Relational Echo,0.8280000000000001,0.8075,1.0294999999999999,0.9942500000000001,0.82125,0.98875,0.76875,0.9195,0.8362499999999999,0.88525,Relational
Strategic Ignorance,1.066,1.001,0.965,1.156,0.773,0.768,0.952,0.929,0.653,1.296,Other
Strategic Simulator,1.1757499999999999,0.867,0.9372499999999999,1.021,0.8875,0.88925,0.79425,0.9982500000000001,0.74825,1.01425,Causal
Tradeoff Triangle,1.019,1.086,0.78,0.618,0.774,0.6,0.6,1.128,0.886,0.725,Other
Zero-Sum Fallacy,0.806,0.672,1.227,1.106,0.929,0.724,0.69,0.867,0.841,0.852,Other
